Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
EPAM SYSTEMS INC EPAM SYSTEMS INC,B44Z3T8,"2,048","773,239",0.01%
EPIROC AB-A,BMD58R8,308,"8,662",0.00%
EPIROC AB-B,BMD58W3,738,"18,586",0.00%
EQT AB,BJ7W9K4,225,"10,088",0.00%
EQT CORP,2319414,628,"46,743",0.00%
EQT HOLDINGS LTD,BD5WNY6,"34,101","1,091,245",0.02%
EQUIFAX INC COM,2319146,116,"47,754",0.00%
EQUINIX INC COM NPV,BVLZX12,105,"159,793",0.00%
EQUINOR ASA,7133608,"1,010","38,116",0.00%
EQUITABLE HOLDINGS INC,BKRMR96,333,"25,356",0.00%
EQUITY LIFESTYLE PROPERTIES COM USD0.01,2563125,220,"23,649",0.00%
EQUITY RESIDENTIAL SBI USD0.01,2319157,357,"41,390",0.00%
ERICSSON LM-B SHS,5959378,"3,523","46,288",0.00%
ERIE INDEMNITY COMPANY-CL A CLASS'A' COM,2311711,37,"24,696",0.00%
ERSTE GROUP BANK AG,5289837,"27,757","2,769,562",0.05%
ESSENTIAL UTILITIES INC,BLCF3J9,486,"28,492",0.00%
ESSENTRA PLC,B074435,"362,088","974,120",0.02%
ESSEX PROPERTY TRUST INC COM USD0.0001,2316619,81,"37,114",0.00%
ESSILORLUXOTTICA,7212477,278,"109,416",0.00%
ESSITY AKTIEBOLAG-B,BF1K7P7,564,"24,363",0.00%
EURAZEO SE,7042395,11,"1,350",0.00%
EUROFINS SCIENTIFIC,BNDPYV1,136,"11,235",0.00%
EURONEXT NV ENX,BNBNSG0,"31,709","5,743,270",0.10%
EVEREST GROUP LTD,2556868,33,"19,179",0.00%
EVERGY INC,BFMXGR0,215,"21,401",0.00%
EVERSOURCE ENERGY,BVVN4Q8,374,"34,716",0.00%
EVOLUTION AB,BJXSCH4,159,"19,877",0.00%
EVOLUTION MINING LTD,B3X0F91,"2,237,874","10,764,172",0.18%
EVONIK INDUSTRIES AG EVONIK INDUSTRIES A,B5ZQ9D3,396,"11,070",0.00%
EVT LTD,BDG0N49,"85,132","968,807",0.02%
EXACT SCIENCES CORP COM USD0.01,2719951,"16,401","1,488,459",0.02%
EXELON CORP COM,2670519,978,"59,479",0.00%
EXOR NV,BMJ1825,57,"8,456",0.00%
EXPAND ENERGY CORP,BMZ5LZ5,215,"34,491",0.00%
EXPEDIA INC-W/I COM,B748CK2,212,"63,858",0.00%
EXPEDITORS INTL WASH INC COM,2325507,193,"34,488",0.00%
EXPERIAN PLC,B19NLV4,906,"63,133",0.00%
EXTRA SPACE STORAGE INC COM USD0.01,B02HWR9,207,"49,961",0.00%
EXXON MOBIL CORP COM,2326618,"18,386","3,194,405",0.05%
EZAKI GLICO CO LTD NPV,6327703,"8,097","390,615",0.01%
F5 INC,2427599,51,"20,815",0.00%
FACTSET RESEARCH SYSTEMS INC COM USD0.01,2329770,"6,329","4,909,312",0.08%
FAIR ISAAC & CO INC COM,2330299,25,"81,042",0.00%
FAIRFAX FINANCIAL HLDGS LTD,2566351,659,"1,479,735",0.02%
FALCON METALS LTD/AUSTRALIA,BMDVXZ9,"35,045","4,030",0.00%
FANUC CORP,6356934,934,"40,056",0.00%
FARASIS ENERGY GAN ZHOU CO-A,BNHPNL0,"12,284","31,349",0.00%
FAST RETAILING CO LTD NPV,6332439,182,"100,585",0.00%
FASTENAL CO,2332262,529,"61,483",0.00%
FASTIGHETS AB BALDER-B SHRS,BPMRNZ9,529,"5,940",0.00%
FAURECIA EUR7,4400446,339,"4,919",0.00%
FEDEX CORP COM,2142784,261,"118,695",0.00%
FERGUSON ENTERPRISES INC,BS6VHW3,"5,019","1,406,871",0.02%
FERRARI NV RACE,BD6G507,141,"97,149",0.00%
FERROGLOBE PLC,BYW6GV6,"261,173","1,602,937",0.03%
FERROGLOBE REPRESENTSTION &,BBG00F9W7QW6 (Bloomberg),689,0,0.00%
FERROVIAL SE,BRS7CF0,439,"29,777",0.00%
FICONT INDUSTRY BEIJING IN-A,BMF7P04,474,"2,952",0.00%
FIDELITY NATIONAL INFO SERV,2769796,"33,982","4,433,057",0.07%
FIFTH THIRD BANCORP COM,2336747,596,"40,680",0.00%
FINECOBANK SPA,BNGN9Z1,"1,357","38,097",0.00%
FIREFINCH LTD,BKPJ9T3,"1,062,626","212,525",0.00%
FIREFLY METALS LTD,BPDXXB2,"771,324","713,475",0.01%
FIRST ABU DHABI BANK PJSC,6624471,"290,033","1,752,310",0.03%
FIRST CITIZENS BCSHS  -CL A,2355582,13,"43,304",0.00%
FIRST QUANTUM MINERALS LTD COM,2347608,"48,607","1,011,477",0.02%
FIRST SOLAR INC COM STK USD0.001,B1HMF22,115,"32,597",0.00%
FIRSTCASH HOLDINGS INC,BMF5Q83,"1,814","303,536",0.01%
FIRSTENERGY CORP COM,2100920,480,"30,826",0.00%
FIRSTSERVICE CORP,BJMKSJ5,-8,"-2,332",0.00%
FISERV INC,2342034,"16,619","5,513,788",0.09%
FISHER & PAYKEL HEALTHCARE C,6340250,664,"23,070",0.00%
FISHER & PAYKEL HEALTHCARE C NPV,6423968,"522,375","18,257,003",0.30%
FLEETPARTNERS GROUP LTD,BN7HDZ0,"251,497","676,528",0.01%
FLETCHER BUILDING LTD NPV,6341617,"2,561,734","6,532,421",0.11%
FLIGHT CENTRE TRAVEL GROUP LTD,6352147,"174,217","2,905,936",0.05%
FLUTTER ENTERTAINMENT PLC,BWXC0Z1,"15,130","6,341,397",0.11%
FLUTTER ENTERTAINMENT PLC,BWZMZF4,187,"78,153",0.00%
FNF GROUP,BNBRDD4,479,"43,394",0.00%
FOMENTO ECONOMICO MEXICANO SAB,2246039,"7,137","985,514",0.02%
FORAN MINING CORPORATION,2355731,"24,544","108,326",0.00%
FORD MOTOR CO,2615468,"3,992","63,824",0.00%
FORTESCUE LTD,6086253,"506,401","9,241,813",0.15%
FORTINET INC COM USD0.001,B5B2106,696,"106,149",0.00%
FORTIS INC COM NPV,2347200,490,"32,846",0.00%
FORTUM OYJ,5579550,572,"12,920",0.00%
FORTUNE BRANDS HOME & SECURI USD0.01,B3MC7D6,"19,848","2,190,420",0.04%
FOX CORP - CLASS A - W/I,BJJMGL2,318,"24,915",0.00%
FOX CORP- CLASS B,BJJMGY5,92,"6,764",0.00%
FOXCONN INDUSTRIAL INTERNE-A,BG20N99,"81,069","383,454",0.01%
FOXTONS GROUP PLC FOXT,BCKFY51,"838,023","1,169,640",0.02%
FRANCO-NEVADA CORP COM NPV,B29NF31,161,"30,630",0.00%
FRANKLIN RESOURCES INC,2350684,432,"14,154",0.00%
FRASERS GROUP PLC,B1QH8P2,"12,688","156,302",0.00%
FREEPORT-MCMORAN INC,2352118,"62,763","3,860,140",0.06%
FRESENIUS MEDICAL CARE AG,5129074,253,"18,718",0.00%
FRESENIUS SE & CO KGAA,4352097,382,"21,409",0.00%
FUJI ELECTRIC CO LTD,6356365,306,"26,887",0.00%
FUJI MEDIA HOLDINGS INC,6036582,"30,687","546,056",0.01%
FUJIAN FOXIT SOFTWARE DEVE-A,BQWRBS5,"5,704","84,278",0.00%
FUJIFILM HOLDINGS CORP,6356525,"1,011","34,385",0.00%
FUJIKURA LIMITED,6356707,244,"16,437",0.00%
FUTU HOLDINGS LTD-ADR,BGK4T39,60,"7,756",0.00%
FUYAO GROUP GLASS INDUSTR-A,BP3R6K4,"66,341","910,726",0.02%
G5 ENTERTAINMENT AB G5EN,B1FP6W0,"2,647","42,569",0.00%
G8 EDUCATION LTD NPV,B296314,"5,618,348","7,331,944",0.12%
GALAXY ENTERTAINMENT GROUP L,6465874,"2,813","19,300",0.00%
GALDERMA GROUP AG,BRC2T72,89,"15,947",0.00%
GALP ENERGIA SGPS SA-B SHRS,B1FW751,453,"12,072",0.00%
GAMING AND LEISURE PROPE-W/I COM USD0.01,BFPK4S5,359,"27,941",0.00%
GARMIN LTD,B3Z5T14,189,"62,975",0.00%
GARTNER INC COM STK USD0.0005,2372763,82,"64,305",0.00%
GATES INDUSTRIAL CORP PLC GTES,BD9G2S1,"87,635","2,911,496",0.05%
GAZPROM OAO GAZP,B59L4L7,"21,025",0,0.00%
GAZTRANSPORT ET TECHNIGA-W/I EUR0.01,BJYRDP5,"6,147","1,322,110",0.02%
GD POWER DEVELOPMENT CO -A,BP3R3J2,"167,694","168,967",0.00%
GDI PROPERTY GROUP NPV(STAPLED UNITS),BHB0NV9,"1,219,958","701,476",0.01%
GE HEALTHCARE TECHNOLOG-W/I,BL6JPG8,472,"59,614",0.00%
GE VERNOVA LLC,BP6H4Y1,274,"145,714",0.00%
GEA GROUP AG AKT,4557104,280,"22,413",0.00%
GEBERIT AG-REG CHF1(REGD),B1WGG93,36,"33,221",0.00%
GECINA SA EUR7.50,7742468,18,"2,757",0.00%
GEM DIAMONDS LTD ORD USD0.01 (DI),B1P8H48,"251,234","55,901",0.00%
GEN DIGITAL INC,BJN4XN5,523,"23,145",0.00%
GENERAL ELECTRIC CO,BL59CR9,"4,961","1,336,468",0.02%
GENERAL MLS INC COM,2367026,585,"60,249",0.00%
GENERAL MOTORS CO,B665KZ5,"1,524","131,115",0.00%
GENERATION DEVELOPMENT GROUP,BF42CQ6,"254,923","917,724",0.02%
GENESIS MINERALS LTD,B23G0X1,"3,524,363","8,705,176",0.14%
GENMAB A/S DKK1 (BEARER),4595739,72,"23,993",0.00%
GENPACT LTD COM STK USD0.01,B23DBK6,"26,167","1,815,192",0.03%
GENTING MALAYSIA BHD,B1VXKN7,"440,543","359,624",0.01%
GENTING SINGAPORE LTD GRNS,BDRTVP2,"10,987","9,951",0.00%
GENTRACK GROUP LTD GTK,BNJZLK3,"51,115","592,428",0.01%
GENUINE PARTS CO COM,2367480,142,"26,711",0.00%
GENUSPLUS GROUP LTD,BMCQZF9,"113,954","298,558",0.00%
GETINGE AB-B SHS SER'B'NPV,7698356,309,"8,213",0.00%
GF SECURITIES CO LTD-A,BD5CQ36,"339,345","1,210,163",0.02%
GFL ENVIRONMENTAL INC-SUB VT,BKDT649,201,"14,498",0.00%
GIANTEC SEMICONDUCTOR CORP-A,BNHNC73,427,"5,502",0.00%
GIGADEVICE SEMICONDUCTOR B-A,BHWLWF8,969,"22,765",0.00%
GILDAN ACTIVEWEAR INC,2254645,335,"25,448",0.00%
GILEAD SCIENCES INC COM,2369174,"1,264","188,511",0.00%
GIVAUDAN-REG ORD,5980613,9,"63,088",0.00%
GJENSIDIGE FORSIKRING ASA NOK2,B4PH0C5,121,"3,464",0.00%
GLENCORE PLC,B4T3BW6,"164,883","1,178,664",0.02%
GLOBAL PAYMENTS INC COM STK USD0.001,2712013,"7,741","1,401,005",0.02%
GLOBAL-E ONLINE LTD,BN770J3,96,"8,445",0.00%
GLOBALWAFERS CO LTD,BS7JP33,"43,206","812,036",0.01%
GLOBE TELECOM INC,6284864,"5,445","332,070",0.01%
GLOBUS MEDICAL INC - A GLOBUS MEDICAL IN,B7D65M0,"22,952","3,066,089",0.05%
GLODON CO LTD-A,BD5CK01,"35,757","92,509",0.00%
GMO PAYMENT GATEWAY INC NPV,B06CMQ9,"20,064","1,643,552",0.03%
GODADDY INC - CLASS A GDDY,BWFRFC6,226,"72,067",0.00%
GOERTEK INC -A,BD5CNT1,"39,733","225,608",0.00%
GOLAR LNG LTD COM STK USD1.00,2367963,"13,667","934,130",0.02%
GOLD FIELDS LTD ZAR0.50,6280215,"26,100","552,015",0.01%
GOLD ROAD RESOURCES LTD NPV,B15F5K1,"-1,137","-2,331",0.00%
GOLDEN OCEAN GROUP LTD,BYN8774,"34,094","493,383",0.01%
GOLDMAN SACHS GROUP IN COM,2407966,343,"317,252",0.01%
GOODMAN GROUP,B03FYZ4,"853,320","30,412,322",0.51%
GPT GROUP NPV (STAPLED SECURITIES),6365866,"281,721","1,231,122",0.02%
GRAB HOLDINGS LTD - CL A,BP6NH40,"2,011","15,329",0.00%
GRACO INC COM,2380443,271,"36,951",0.00%
GRAINCORP LTD-A,6102331,"50,279","369,051",0.01%
GRAINGER (W.W) INC COM,2380863,45,"77,416",0.00%
GREAT WALL MOTOR CO LTD-A,BP3R325,"22,529","130,501",0.00%
GREAT WALL MOTOR COMPANY-H,6718255,"909,344","2,582,714",0.04%
GREAT-WEST LIFECO INC COM,2384951,426,"22,804",0.00%
GREE ELECTRIC APPLIANCES I-A,BD5CPN9,"29,630","296,268",0.00%
GRIFOLS SA,BYY3DX6,239,"3,663",0.00%
GROUPE BRUXELLES LAMBERT SA NPV,7097328,186,"20,552",0.00%
GROUPE EUROTUNNEL SE,B292JQ9,238,"6,126",0.00%
GROWTHPOINT PROPERTIES AUSTRALIA,B1Y9BC8,"354,217","843,036",0.01%
GRUPO AEROPORTUARIO DEL-B SH SER 'B' NPV,B0ZV104,"280,824","7,995,581",0.13%
GRUPO CARSO SAB DE CV-SER A1 COM SER'A1',2393452,"21,152","189,405",0.00%
GRUPO FINANCIERO BANORTE SAB D,2421041,"561,158","5,839,661",0.10%
GRUPO MEXICO SAB DE CV-SER B SER'B'COM N,2643674,"248,436","1,909,142",0.03%
GSK PLC,BN7SWP6,"4,101","111,704",0.00%
GUANGDONG HAID GROUP CO-A,BD5CJ60,"7,906","85,318",0.00%
GUANGDONG LY INTELLIGENT M-A,BD5LQY4,"82,049","144,405",0.00%
GUANGXI LIUGONG MACHINERY-A,BD5C904,"206,753","548,552",0.01%
GUANGZHOU GUANGRI STOCK CO-A,BYQDMB5,"1,234","3,965",0.00%
GUARDIAN MEDICAL SOLUTIONS LIMITED,MFSS000000280807,"21,304",597,0.00%
GUOTAI EPOINT SOFTWARE CO -A,CNE100004ZF3 (ISIN),348,"2,217",0.00%
GUOTAI JUNAN SECURITIES CO-A,BYQDMZ9,"3,947","16,196",0.00%
GUOYUAN SECURITIES CO LTD-A,BD5CNY6,"209,020","384,427",0.01%
GUZMAN Y GOMEZ LTD,BSLTT82,"75,332","3,056,239",0.05%
GWA GROUP LTD,6392949,"10,754","26,025",0.00%
HAFNIA LTD,SGXZ53070850 (ISIN),"231,842","2,002,938",0.03%
HAIDLAO INTERNATIONAL HOLDI,BGN9715,"50,679","167,540",0.00%
HAIER SMART HOME CO LTD-A,BP3R3G9,"157,014","983,437",0.02%
HAIER SMART HOME CO LTD-H,BLD4QD0,"268,827","1,537,103",0.03%
HAITIAN INTERNATIONAL HLDGS,B1L2RC2,"410,982","1,803,027",0.03%
HAITONG SECURITIES CO LTD-A,BP3R2S4,"5,727","14,011",0.00%
HAL TRUST UNITS NPV,4402839,"1,064","205,401",0.00%
HALEON PLC,BMX86B7,"6,966","53,178",0.00%
HALLIBURTON CO COM,2405302,933,"40,966",0.00%
HALMA PLC ORD GBP0.10,405207,351,"19,098",0.00%
HANG LUNG PROPERTIES LTD,6030506,"1,322,891","1,713,600",0.03%
HANG SENG BANK,6408374,699,"13,893",0.00%
HANGZHOU ELECTRONIC SOUL N-A,CNE100002GB6 (ISIN),"1,378","6,030",0.00%
HANGZHOU GREATSTAR INDUSTRIA,BD5CG70,"74,739","531,915",0.01%
HANKYU HANSHIN HOLDINGS INC,6408664,224,"9,457",0.00%
HANNOVER RUECK SE,4511809,70,"28,282",0.00%
HANSEN TECHNOLOGIES LTD NPV,6243252,"17,339","92,766",0.00%
HANSOH PHARMACEUTICAL GROUP,BJYKB72,"155,170","557,505",0.01%
HARGREAVES LANSDOWN PLC ORD GBP0.004,B1VZ0M2,317,"7,036",0.00%
HARTFORD FINL SVCS GRO COM,2476193,379,"66,880",0.00%
HARVEY NORMAN HOLDINGS LTD SHS,6173508,-653,"-3,051",0.00%
HCA HEALTHCARE INC,B4MGBG6,"7,420","3,597,039",0.06%
HCL TECHNOLOGIES LTD,6294896,"58,566","2,118,374",0.04%
HDFC BANK LIMITED,BK1N461,"62,362","2,085,637",0.03%
HDFC BANK LTD-ADR ADR REPS 3 SHS,2781648,"128,878","13,292,613",0.22%
HEALIUS LTD,BFZYRL1,"4,248,635","5,820,630",0.10%
HEALTHPEAK PROPERTIES INC,BJBLRK3,"1,064","34,826",0.00%
HEIDELBERG MATERIALS AG,5120679,136,"27,228",0.00%
HEILAN HOME CO LTD -A 600398,BS7K3T8,"250,260","412,926",0.01%
HEINEKEN HOLDING NV -A,B0CCH46,125,"12,083",0.00%
HEINEKEN NV,7792559,"21,592","2,480,833",0.04%
HELIA GROUP LTD,BP5HL07,"7,644","34,170",0.00%
HELIOS TOWERS PLC HTWS,BJVQC70,"248,823","460,532",0.01%
HELVETIA HOLDING AG-REG,BK6QWF0,39,"10,358",0.00%
HENAN PINGGAO ELECTRIC CO-A,BP3R734,"132,598","560,089",0.01%
HENAN SHENHUO COAL & POWER-A,BD6QWQ2,"9,158","34,049",0.00%
HENDERSON LAND DEVELOPMENT,6420538,"10,159","49,848",0.00%
Henkel AG and CO KGAA,5002465,210,"26,086",0.00%
Henkel AG and Co KGAA,5076705,110,"15,530",0.00%
HENNES & MAURITZ AB-B SHS,5687431,914,"19,928",0.00%
HENRY SCHEIN INC COM USD0.01,2416962,117,"13,075",0.00%
HERMES INTERNATIONAL S ACT,5253973,"1,009","3,917,991",0.07%
HERSHEY FOODS CORP COM,2422806,144,"39,466",0.00%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,BYVYWS0,"1,301","44,861",0.00%
HEXAGON AB-B SHS,BNZFHC1,"2,718","41,948",0.00%
HEXING ELECTRICAL CO LTD-A 603556,BYW5QY6,"27,722","225,592",0.00%
HF SINCLAIR CORP,BMZQ9C1,93,"5,260",0.00%
HIKARI TSUSHIN INC,6416322,"6,501","2,303,591",0.04%
HIKMA PHARMACEUTICALS PLC,B0LCW08,-23,-917,0.00%
HI-LEX CORP,6643476,"6,099","96,776",0.00%
HILTON WORLDWIDE HLDGS - W/I HLT-W,BYVMW06,268,"107,013",0.00%
HIMALAYA SHIPPING LTD,BMW64P2,"14,237","111,752",0.00%
HIMALAYA SHIPPING LTD,BN957G1,"11,426","89,205",0.00%
HINDUSTAN AERONAUTICS LTD,BR56KD4,"16,696","1,315,995",0.02%
HISCOX LTD,BVZHXQ9,"3,802","83,298",0.00%
HISENSE ELECTRIC CO LTD-A,BP3R7F6,"24,496","107,457",0.00%
HISENSE HOME APPLIANCES G-A,BD5M2M7,"67,597","429,777",0.01%
HITACHI CONSTRUCTION MACHINE,6429405,250,"9,041",0.00%
HITACHI LIMITED COM,6429104,"29,947","1,211,660",0.02%
HIWIN TECHNOLOGIES CORP TWD10,B1YMYT5,"261,679","4,241,277",0.07%
HKT TRUST AND HKT SHARE STAPLED UNIT,B4TXDZ3,"6,004","11,985",0.00%
HL MANDO CO LTD,BQJZQJ8,"41,461","1,849,082",0.03%
HMC CAPITAL LTD,BJRBL61,"408,410","4,026,921",0.07%
HOKUETSU CORP,6433105,"61,997","974,187",0.02%
HOLCIM LTD,7110753,483,"75,196",0.00%
HOLMEN AB-B SHARES,BDQQ1Q5,187,"11,107",0.00%
HOLOGIC INC COM USD0.01,2433530,211,"24,609",0.00%
HOME DEPOT INC COM,2434209,"1,020","641,042",0.01%
HOMECO DAILY NEEDS REIT,BNC0NF4,"77,710","88,978",0.00%
HON HAI PRECISION INDS ORD,6438564,"263,617","2,389,588",0.04%
HONDA MOTOR CO LTD,6435145,"4,392","69,287",0.00%
HONG KONG & CHINA GAS,6436557,"9,140","11,802",0.00%
HONG KONG EXCHANGES & CLEAR,6267359,"48,438","2,969,025",0.05%
HONG LEONG FINANCIAL GROUP BERHAD,6436450,"14,127","94,400",0.00%
HONGKONG & SHANGHAI HO,6436386,"736,362","952,312",0.02%
HONGKONG LAND HOLDINGS LTD ORD USD0.10(S,6434915,"1,844","13,253",0.00%
HORIZON ROBOTICS INC,KYG4602S1057 (ISIN),"1,171,922","877,200",0.01%
HORMEL FOODS CORP COM USD0.0586,2437264,382,"19,337",0.00%
HOSHIZAKI CORPORATION,B3FF8W8,31,"1,986",0.00%
HOSIDEN CORP HOSIDEN CORP,6439813,"12,925","307,111",0.01%
HOSKEN CONS INVESTMENTS LTD ZAR0.25,6439738,"124,807","1,751,923",0.03%
HOST HOTELS & RESORTS INC COM STK USD0.0,2567503,687,"19,448",0.00%
HOTEL PROPERTY INVESTMENTS HPI,BGSHGN9,"33,089","124,083",0.00%
HOULIHAN LOKEY INC HLI,BYQ3PM7,"5,216","1,463,050",0.02%
HOWDEN JOINERY GROUP PLC,557681,"38,105","611,606",0.01%
HOWMET AEROSPACE INC,BKLJ8V2,"19,869","3,509,700",0.06%
HOYA CORP,6441506,"21,373","4,352,386",0.07%
HOYUAN GREEN ENERGY CO LTD-A,BK94808,"8,835","31,585",0.00%
HP INC,BYX4D52,"1,101","58,029",0.00%
HSBC HOLDINGS ORD SHS,540528,"20,026","318,117",0.01%
HUA HONG SEMICONDUCTOR LTD,BRB3857,"77,083","346,985",0.01%
HUATAI SECURITIES CO LTD-A,BP3R3B4,"367,023","1,420,297",0.02%
HUAXIA BANK CO LTD-A,BP3R2T5,"527,133","928,906",0.02%
HUB24 LTD,BD4T5X1,"70,342","4,895,788",0.08%
HUBBELL INC -CL B,BDFG6S3,61,"41,364",0.00%
HUBSPOT INC HUBS,BR4T3B3,"1,607","1,808,586",0.03%
HULIC CO LTD,6805317,"1,129","15,892",0.00%
HUMANA INC,2445063,127,"52,106",0.00%
HUNDSUN ELECTRONIC CO LTD-A,BP3R6B5,"8,828","54,360",0.00%
HUNT J B TRANS COM,2445416,103,"28,351",0.00%
HUNTINGTON BANCSHARES COM,2445966,"1,696","44,566",0.00%
HYATT HOTELS CORP - CL A COM USD0.01 CLA,B5B82X4,73,"18,492",0.00%
HYDRO ONE LTD H,BYYXJY9,302,"15,007",0.00%
HYGON INFORMATION TECHNOLO-A,BQZDHW6,"2,912","95,970",0.00%
HYUNDAI GLOVIS CO LTD,B0V3XR5,"8,133","1,053,826",0.02%
IA FINANCIAL CORP INC,BJ2ZH37,64,"9,655",0.00%
IBERDROLA SA,B288C92,"6,103","135,756",0.00%
ICHIGO INC,6549767,"361,291","1,396,069",0.02%
ICICI BANK LTD,BSZ2BY7,"312,902","7,565,286",0.13%
ICON PLC,B94G471,"23,728","8,036,672",0.13%
IDEMITSU KOSAN CO LTD NPV,B1FF8P7,526,"5,597",0.00%
IDEX CORP USD0.01,2456612,65,"22,118",0.00%
IDEXX LABORATORIES INC COM USD0.10,2459202,"1,865","1,245,095",0.02%
IDP EDUCATION LTD IEL,BDB6DD1,"694,267","8,768,588",0.15%
IGM FINANCIAL INC,2469375,11,579,0.00%
IGO LTD,6439567,"1,423,116","6,788,263",0.11%
IHEARTMEDIA INC - CLASS A IHTM,BJVR9Y9,43,139,0.00%
ILLINOIS TOOL WKS INC COM,2457552,305,"124,938",0.00%
ILLUMINA INC COM USD0.01,2613990,142,"30,556",0.00%
ILUKA RESOURCES LIMITED NPV,6957575,"428,515","2,163,998",0.04%
IMCD GROUP NV IMCD,BNCBD46,46,"11,133",0.00%
IMDEX LIMITED NPV,6462154,"111,947","259,717",0.00%
IMPALA PLATINUM HOLDINGS LTD ZAR0.025,B1FFT76,"150,962","1,133,824",0.02%
IMPEDIMED LTD NPV,B282M83,"5,821,439","302,715",0.01%
IMPERIAL BRANDS PLC,454492,"15,159","782,857",0.01%
IMPERIAL OIL LTD COM NEW,2454241,"2,575","256,227",0.00%
INCITEC PIVOT LTD NPV,6673042,"4,329,321","12,684,912",0.21%
INCYTE GENOMICS INC COM,2471950,246,"27,388",0.00%
INDITEX,BP9DL90,"10,312","856,146",0.01%
INDOCEMENT TUNGGAL PRAKARSA TBK,6454861,"2,196,725","1,631,221",0.03%
INDOSAT TBK,B00FYK2,"840,739","209,227",0.00%
INDRAPRASTHA GAS LTD,BD9PXD0,"264,288","2,072,297",0.03%
INDUSTRIAL BANK CO LTD -A,BP3R295,"69,059","291,093",0.00%
INDUSTRIVARDEN AB-A SHS INDUA,B1VSK10,15,787,0.00%
INDUSTRIVARDEN AB-C SHS SER'C'NPV,B1VSK54,442,"22,570",0.00%
INDUTRADE AB NPV,B0LDBX7,212,"8,575",0.00%
INFINEON TECHNOLOGIES AG,5889505,"46,915","2,463,731",0.04%
INFOMEDIA LIMITED INFOMEDIA LIMITED,6268095,"50,025","77,038",0.00%
INFORMA GROUP PLC INFORMA GROUP PLC,BMJ6DW5,"2,261","36,513",0.00%
INFOSYS LTD,2398822,"50,303","1,780,885",0.03%
INFRASTRUTTURE WIRELESS ITAL INW,BZ0P4R4,356,"5,840",0.00%
INFRATIL LTD,6459286,784,"8,937",0.00%
INFRATIL LTD IFT,B6923R6,"133,542","1,545,081",0.03%
ING GROEP NV-CVA,BZ57390,"3,375","85,406",0.00%
INGENIA COMMUNITIES GROUP,B84GSC7,"10,439","47,812",0.00%
INGERSOLL-RAND INC,BL5GZ82,410,"59,941",0.00%
INGHAMS GROUP LTD ING,BZCNHW2,"84,295","268,057",0.00%
INNER MONGOLIA MENGDIAN HU-A,BP3R723,"172,948","164,749",0.00%
INNER MONGOLIA YILI INDUS-A,BP3R2V7,"47,276","313,891",0.01%
INPEX CORP,B10RB15,"1,074","21,748",0.00%
INSIGNIA FINANCIAL LTD,6714394,"4,428,064","15,719,627",0.26%
INSPUR ELECTRONIC INFORMAT-A,BD5CLB9,"7,105","81,097",0.00%
INSULET CORP COM STK USD0.001,B1XGNW4,75,"31,753",0.00%
INSURANCE AUSTRALIA GROUP SHS,6271026,"1,492,693","12,628,180",0.21%
INTACT FINANCIAL CORP,B04YJV1,184,"54,183",0.00%
INTEL CORP,2463247,"4,542","147,090",0.00%
INTELLIGENT MONITORING GROUP,BMF19D7,"578,472","323,944",0.01%
INTERACTIVE BROKERS GRO-CL A COM STK CLA,B1WT4X2,"7,869","2,245,273",0.04%
INTERCONTINENTAL EXCHANGE INC,BFSSDS9,608,"146,367",0.00%
INTERCONTINENTAL HOTELS GROU,BHJYC05,277,"55,703",0.00%
INTERFOR CORPORATION,BMJ71W4,"1,778","33,534",0.00%
INTERGAL DIAGNOSTICS LTD,BYV2ZK7,"540,890","1,573,989",0.03%
INTERNATIONAL BUSINESS COM,2005973,969,"344,138",0.01%
INTERNATIONAL FLAVORS& COM,2464165,222,"30,267",0.00%
INTERNATIONAL SEAWAYS INC-WI,BYX60M4,"22,424","1,301,675",0.02%
INTERPUBLIC GROUP COS COM,2466321,565,"25,588",0.00%
INTERTEK GROUP PLC ORD GBP0.01,3163836,192,"18,339",0.00%
INTESA SANPAOLO,4076836,"15,008","96,961",0.00%
INTL CONSOLIDATED AIRLINE-DI,B5M6XQ7,"69,943","427,122",0.01%
INTL PAPER CO COM,2465254,497,"43,226",0.00%
INTUIT INC,2459020,"7,996","8,116,842",0.14%
INTUITIVE SURGICAL INC COM USD0.001,2871301,"10,953","9,233,901",0.15%
INVESTMENT AB LATOUR-B SHS,BZ404X1,-254,"-10,230",0.00%
INVESTOR AB-B SHS,BMV7PQ4,"16,781","717,993",0.01%
INVITATION HOMES INC,BD81GW9,576,"29,723",0.00%
IPD GROUP LTD,BP9SCC5,"108,650","420,476",0.01%
IPERIONX LTD,BMCB2H5,"180,651","993,582",0.02%
IPH LTD IPH,BS7K5S1,"86,913","437,173",0.01%
IPSEN EUR1,B0R7JF1,17,"3,091",0.00%
IQVIA HOLDINGS INC,BDR73G1,"9,802","3,110,872",0.05%
IRESS MARKET TECHNOLOGY LTD NPV,6297497,"407,464","3,793,492",0.06%
IRON MTN INC PA COM,BVFTF03,332,"56,446",0.00%
ISRAEL DISCOUNT BANK-A ILS0.10 SER'A',6451271,-68,-750,0.00%
ISUZU MOTORS LTD COM,6467104,523,"11,609",0.00%
